Num,Name,,,,,
010101011002002,粉蚧科臀纹粉蚧属柑橘粉蚧,,,,,
010105074001001,长蠹科瘤长蠹属暗瘤长蠹/黑暗瘤长蠹,,,,,
010105074002001,长蠹科双棘长蠹属双棘长蠹,,,,,
010105074002002,长蠹科双棘长蠹属黑双棘长蠹,,,,,
010105074002003,长蠹科双棘长蠹属粗双棘长蠹,,,,,
010105074003001,长蠹科碎木长蠹属多毛碎木长蠹/噬木长蠹,,,,,
010105074003002,长蠹科碎木长蠹属脂松碎木长蠹/云杉碎木长蠹/脂粉碎木长蠹,,,,,
010105074004001,长蠹科小卷长蠹属竹大长蠹/大竹蠹,,,,,
010105074005001,长蠹科异翅长蠹属棕异翅长蠹,,,,,
010105074005002,长蠹科异翅长蠹属双钩异翅长蠹,,,,,
010105074005003,长蠹科异翅长蠹属二突异翅长蠹,,,,,
010105074006001,长蠹科叉尾长蠹属细齿叉尾长蠹,,,,,
010105074006002,长蠹科叉尾长蠹属镰叉尾长蠹,,,,,
010105074007001,长蠹科咬木长蠹属褐斑木长蠹/双齿长蠹,,,,,
010105074008001,长蠹科长棒长蠹属红艳长棒长蠹/红艳长蠹/红艳小蠹,,,,,
010105074008002,长蠹科长棒长蠹属黄足长棒长蠹,,,,,
010105074009001,长蠹科谷蠹属谷蠹,,,,,
010105074010001,长蠹科尖帽胸长蠹属大谷蠹,,,,,
010105074011001,长蠹科噬木长蠹属截面噬木长蠹,,,,,
010105074012001,长蠹科竹长蠹属竹长蠹/竹蠹/竹竿粉长蠹/竹小长蠹,,,,,
010105074012002,长蠹科竹长蠹属双窝短跗长蠹/双窝竹长蠹,,,,,
010105074013001,长蠹科奸狡长蠹属钻孔奸狡长蠹,,,,,
010105074014001,长蠹科角胸长蠹属大角胸长蠹,,,,,
010105031001001,露尾甲科果实露尾甲属隆胸露尾甲,,,,,
010105031001002,露尾甲科果实露尾甲属大腋露尾甲,,,,,
010105031001003,露尾甲科果实露尾甲属细胫露尾甲,,,,,
010105031001004,露尾甲科果实露尾甲属酱曲露尾甲/黄斑露尾甲,,,,,
010105031001005,露尾甲科果实露尾甲属脊胸露尾甲,,,,,
010105017001001,吉丁虫科窄吉丁属花曲柳窄吉丁,,,,,
010105017001002,吉丁虫科窄吉丁属黄麻窄吉丁,,,,,
010103023001001,螟蛾科野秆螟属玉米螟,,,,,
010103023002001,螟蛾科印度谷螟/印度谷斑螟,,,,,
010103023003001,螟蛾科绢野螟属黄瓜娟野螟,,,,,
010105061001001,薪甲科缩颈薪甲属缩颈薪甲,,,,,
010105061002001,薪甲科拟缩颈薪甲属瘤鞘薪甲,,,,,
010105061003001,薪甲科薪甲属湿薪甲,,,,,
010105026001001,叩甲科松丽叩甲/丽叩甲/松丽叩头虫,,,,,
010102002001001,鼻白蚁科乳白蚁属大家白蚁/曲颚乳白蚁,,,,,
010102002001002,鼻白蚁科乳白蚁属家白蚁/乳白蚁（台湾乳白蚁）,,,,,
010105041001001,皮蠹科毛皮蠹属黑毛皮蠹/短角褐毛皮蠹/,,,,,
010105041001002,皮蠹科毛皮蠹属褐毛皮蠹,,,,,
010105041002001,皮蠹科皮蠹属白腹皮蠹,,,,,
010105041002002,皮蠹科皮蠹属火腿皮蠹,,,,,
